"source" "type" "score" "phase" "gene_id" "gene_type" "gene_name" "level" "hgnc_id" "havana_gene" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"ENSG00000109805.10" "HAVANA" "gene" NA NA "ENSG00000109805.10" "protein_coding" "NCAPG" "2" "HGNC:24304" "OTTHUMG00000128539.4" -1.24813613649382 3.17952113520478 -10.1310355129838 9.88089567494151e-22 8.07848401561597e-19 38.6058485027237
"ENSG00000137033.11" "HAVANA" "gene" NA NA "ENSG00000137033.11" "protein_coding" "IL33" "2" "HGNC:16028" "OTTHUMG00000019516.1" 1.56325862122338 4.14700453310025 10.1217194862857 1.06673207427297e-21 8.43073916033736e-19 38.54560687161
"ENSG00000168497.5" "HAVANA" "gene" NA NA "ENSG00000168497.5" "protein_coding" "CAVIN2" "2" "HGNC:10690" "OTTHUMG00000154309.3" 1.3697368615347 4.66142235267772 10.0638752945639 1.71458579289994e-21 1.31138158547282e-18 38.0689597967045
"ENSG00000149554.13" "HAVANA" "gene" NA NA "ENSG00000149554.13" "protein_coding" "CHEK1" "2" "HGNC:1925" "OTTHUMG00000165853.13" -1.05604959473987 3.59752374534841 -10.0526453117295 1.87971261465908e-21 1.39274956542396e-18 37.963191121664
"ENSG00000165480.16" "HAVANA" "gene" NA NA "ENSG00000165480.16" "protein_coding" "SKA3" "1" "HGNC:20262" "OTTHUMG00000016539.5" -1.12398763173359 2.36536519334868 -10.0455173275684 1.99261695609628e-21 1.43166509178917e-18 37.9328488672908
"ENSG00000121075.11" "HAVANA" "gene" NA NA "ENSG00000121075.11" "protein_coding" "TBX4" "2" "HGNC:11603" "OTTHUMG00000180078.4" 1.34375601543874 2.79560635207757 10.0378983668831 2.12074900375165e-21 1.47891055526328e-18 37.8579516220316
"ENSG00000115163.15" "HAVANA" "gene" NA NA "ENSG00000115163.15" "protein_coding" "CENPA" "2" "HGNC:1851" "OTTHUMG00000097073.5" -1.30364128825007 2.04249528765839 -9.96969806572487 3.70013009434333e-21 2.50657384391087e-18 37.3266842198727
"ENSG00000127423.11" "HAVANA" "gene" NA NA "ENSG00000127423.11" "protein_coding" "AUNIP" "2" "HGNC:28363" "OTTHUMG00000007372.2" -1.1505015532183 1.00593112921402 -9.90473812807124 6.2739463608637e-21 4.13209078377995e-18 36.793195884414
"ENSG00000164265.9" "HAVANA" "gene" NA NA "ENSG00000164265.9" "protein_coding" "SCGB3A2" "2" "HGNC:18391" "OTTHUMG00000129729.3" 3.99016612827184 5.61417095105377 9.85940583826583 9.05813864786598e-21 5.80455317137574e-18 36.4485948237042
"ENSG00000151892.15" "HAVANA" "gene" NA NA "ENSG00000151892.15" "protein_coding" "GFRA1" "2" "HGNC:4243" "OTTHUMG00000019097.4" 2.05394306056409 1.34739346733632 9.79788974798539 1.48856960582668e-20 9.14887507506751e-18 35.8790357662131
"ENSG00000134222.16" "HAVANA" "gene" NA NA "ENSG00000134222.16" "protein_coding" "PSRC1" "2" "HGNC:24472" "OTTHUMG00000012000.6" -0.930108507180747 2.70910918692309 -9.79653788894773 1.50487611947547e-20 9.14887507506751e-18 35.9467677731446
"ENSG00000266524.3" "HAVANA" "gene" NA NA "ENSG00000266524.3" "protein_coding" "GDF10" "2" "HGNC:4215" "OTTHUMG00000188319.2" 1.89724198393867 0.531572379452841 9.78558668643235 1.64367549676008e-20 9.74288650704535e-18 35.7310672390545
"ENSG00000133661.17" "HAVANA" "gene" NA NA "ENSG00000133661.17" "protein_coding" "SFTPD" "2" "HGNC:10803" "OTTHUMG00000018590.6" 2.61283852209095 6.00044920427374 9.76050693990089 2.01124467448078e-20 1.16308807882779e-17 35.6338098352845
"ENSG00000276409.5" "HAVANA" "gene" NA NA "ENSG00000276409.5" "protein_coding" "CCL14" "2" "HGNC:10612" "OTTHUMG00000188403.3" 1.9609121554146 -2.71254138834796 9.73154963621407 2.53801376137858e-20 1.43276919719729e-17 34.8707107717486
"ENSG00000142731.11" "HAVANA" "gene" NA NA "ENSG00000142731.11" "protein_coding" "PLK4" "1" "HGNC:11397" "OTTHUMG00000133301.7" -0.964417168913492 2.87842992612533 -9.71777371356976 2.83460273173311e-20 1.56298676207889e-17 35.319978015484
"ENSG00000123243.15" "HAVANA" "gene" NA NA "ENSG00000123243.15" "protein_coding" "ITIH5" "1" "HGNC:21449" "OTTHUMG00000017635.7" 1.58447040781457 3.50339601995596 9.71261376144988 2.95433560681977e-20 1.59198402812947e-17 35.2912051003266
"ENSG00000102384.13" "HAVANA" "gene" NA NA "ENSG00000102384.13" "protein_coding" "CENPI" "2" "HGNC:3968" "OTTHUMG00000022018.2" -1.10336572831887 2.03398959619109 -9.5525348696356 1.05912068607666e-19 5.5803892148617e-17 34.0405124991127
"ENSG00000112214.10" "HAVANA" "gene" NA NA "ENSG00000112214.10" "protein_coding" "FHL5" "2" "HGNC:17371" "OTTHUMG00000015239.2" 1.29061232325663 0.674152861256042 9.49507740960491 1.6694367732572e-19 8.60485780302787e-17 33.5226193525988
"ENSG00000080293.10" "HAVANA" "gene" NA NA "ENSG00000080293.10" "protein_coding" "SCTR" "2" "HGNC:10608" "OTTHUMG00000131407.4" 2.97242151925278 2.90842632021534 9.46914417408447 2.048908914487e-19 1.03360915664866e-16 33.3816528788217
"ENSG00000277494.2" "HAVANA" "gene" NA NA "ENSG00000277494.2" "protein_coding" "GPIHBP1" "2" "HGNC:24945" "OTTHUMG00000164950.4" 1.75171927488767 0.94866733569269 9.45852075160344 2.22801233748581e-19 1.1005452608706e-16 33.2480432413415
"ENSG00000131400.8" "HAVANA" "gene" NA NA "ENSG00000131400.8" "protein_coding" "NAPSA" "2" "HGNC:13395" "OTTHUMG00000183035.3" 2.53802184606951 8.5078121863476 9.42141229869448 2.98432602377026e-19 1.44404836782843e-16 32.9214980805492
"ENSG00000268388.6" "HAVANA" "gene" NA NA "ENSG00000268388.6" "lncRNA" "FENDRR" "2" "HGNC:43894" "OTTHUMG00000183870.4" 1.69120440550502 1.21945202861486 9.40654704133415 3.35431880305919e-19 1.58790358469914e-16 32.8620183863985
"ENSG00000161888.11" "HAVANA" "gene" NA NA "ENSG00000161888.11" "protein_coding" "SPC24" "1" "HGNC:26913" "OTTHUMG00000180798.2" -1.00045203435325 2.69135704384946 -9.40424426227848 3.41556654659031e-19 1.58790358469914e-16 32.8803516701209
"ENSG00000123473.16" "HAVANA" "gene" NA NA "ENSG00000123473.16" "protein_coding" "STIL" "1" "HGNC:10879" "OTTHUMG00000007851.4" -0.892194038636306 3.50220034916613 -9.38292644838797 4.03788304772624e-19 1.84111936656902e-16 32.6907031020701
"ENSG00000168878.19" "HAVANA" "gene" NA NA "ENSG00000168878.19" "protein_coding" "SFTPB" "2" "HGNC:10801" "OTTHUMG00000130181.7" 2.74233325896824 11.6227139796541 9.32450454617867 6.38012031631572e-19 2.85420099433671e-16 32.2033894466219
"ENSG00000163815.6" "HAVANA" "gene" NA NA "ENSG00000163815.6" "protein_coding" "CLEC3B" "2" "HGNC:11891" "OTTHUMG00000133087.3" 1.57136115620177 1.31967687226016 9.28653627874529 8.58072944710715e-19 3.76757583686871e-16 31.9586689267925
"ENSG00000177098.9" "HAVANA" "gene" NA NA "ENSG00000177098.9" "protein_coding" "SCN4B" "2" "HGNC:10592" "OTTHUMG00000166994.1" 1.2697488687948 2.06358614354299 9.27808338288902 9.16495093815713e-19 3.95092703170374e-16 31.9168766555151
"ENSG00000188906.16" "HAVANA" "gene" NA NA "ENSG00000188906.16" "protein_coding" "LRRK2" "1" "HGNC:18618" "OTTHUMG00000059742.12" 1.97874676828157 5.64373028537201 9.26935080235582 9.80991185425945e-19 4.10359480796576e-16 31.8043760401757
"ENSG00000185432.12" "HAVANA" "gene" NA NA "ENSG00000185432.12" "protein_coding" "METTL7A" "2" "HGNC:24550" "OTTHUMG00000169484.5" 0.966531841891573 5.97552171151797 9.26862834507651 9.86524268469205e-19 4.10359480796576e-16 31.757655619032
"ENSG00000163145.13" "HAVANA" "gene" NA NA "ENSG00000163145.13" "protein_coding" "C1QTNF7" "1" "HGNC:14342" "OTTHUMG00000097095.5" 1.53791511266528 1.14922728144889 9.26626459460961 1.00484458108392e-18 4.10773534784477e-16 31.7922149845808
"ENSG00000088325.16" "HAVANA" "gene" NA NA "ENSG00000088325.16" "protein_coding" "TPX2" "2" "HGNC:1249" "OTTHUMG00000032190.3" -1.25762201203116 5.19941002503608 -9.25697705242352 1.08015139128408e-18 4.3105243652247e-16 31.6571297141414
"ENSG00000183807.8" "HAVANA" "gene" NA NA "ENSG00000183807.8" "protein_coding" "FAM162B" "2" "HGNC:21549" "OTTHUMG00000015446.3" 1.11870657436176 0.780171207395363 9.2557144598448 1.0908117330809e-18 4.3105243652247e-16 31.7152764100525
"ENSG00000142973.14" "HAVANA" "gene" NA NA "ENSG00000142973.14" "protein_coding" "CYP4B1" "1" "HGNC:2644" "OTTHUMG00000007984.9" 2.71168845737054 4.9113271289128 9.25178449371674 1.12466520543625e-18 4.37144459358909e-16 31.7212841596432
"ENSG00000162267.12" "HAVANA" "gene" NA NA "ENSG00000162267.12" "protein_coding" "ITIH3" "2" "HGNC:6168" "OTTHUMG00000158956.6" 1.08807030616774 0.343628447501077 9.21396107779567 1.50864510218296e-18 5.76935086657386e-16 31.3831079613244
"ENSG00000231322.5" "HAVANA" "gene" NA NA "ENSG00000231322.5" "transcribed_processed_pseudogene" "RPL13AP17" "1" "HGNC:36167" "OTTHUMG00000155514.2" 2.9716746013525 -1.95077800517279 9.19803570856511 1.70685589131719e-18 6.42373860049691e-16 30.8950659652219
"ENSG00000204176.14" "HAVANA" "gene" NA NA "ENSG00000204176.14" "protein_coding" "SYT15" "2" "HGNC:17167" "OTTHUMG00000018103.7" 1.60379614195937 -1.55532185270688 9.19145626027678 1.79608930467571e-18 6.65394959591579e-16 31.0444101590193
"ENSG00000118729.12" "HAVANA" "gene" NA NA "ENSG00000118729.12" "protein_coding" "CASQ2" "2" "HGNC:1513" "OTTHUMG00000011970.1" 1.75462095417566 -0.950780892419519 9.17915905066213 1.97544213174663e-18 7.20580506826346e-16 30.9934472133697
"ENSG00000138778.13" "HAVANA" "gene" NA NA "ENSG00000138778.13" "protein_coding" "CENPE" "2" "HGNC:1856" "OTTHUMG00000160980.9" -1.09034001913765 3.22253792255163 -9.16393143282943 2.22229487337797e-18 7.98342597693814e-16 31.021207170353
"ENSG00000085999.13" "HAVANA" "gene" NA NA "ENSG00000085999.13" "protein_coding" "RAD54L" "1" "HGNC:9826" "OTTHUMG00000007772.10" -1.09373465285376 1.70665459613517 -9.16002128493363 2.2904662937074e-18 8.00677697805079e-16 31.034812431874
"ENSG00000174371.17" "HAVANA" "gene" NA NA "ENSG00000174371.17" "protein_coding" "EXO1" "1" "HGNC:3511" "OTTHUMG00000039965.9" -1.11986270891208 2.69198627563636 -9.15896546398564 2.30922662972959e-18 8.00677697805079e-16 31.0027475347128
"ENSG00000145386.11" "HAVANA" "gene" NA NA "ENSG00000145386.11" "protein_coding" "CCNA2" "2" "HGNC:1578" "OTTHUMG00000133072.4" -1.1104795374343 3.67309028184669 -9.15780045474605 2.33010380213203e-18 8.00677697805079e-16 30.9536743049043
"ENSG00000163075.13" "HAVANA" "gene" NA NA "ENSG00000163075.13" "protein_coding" "CFAP221" "1" "HGNC:33720" "OTTHUMG00000153310.2" 1.9908476024801 3.24916476662078 9.15222562280523 2.43262346790683e-18 8.18289495657782e-16 30.9773748092487
"ENSG00000140534.14" "HAVANA" "gene" NA NA "ENSG00000140534.14" "protein_coding" "TICRR" "1" "HGNC:28704" "OTTHUMG00000149648.6" -1.09779684248662 1.9332584788502 -9.15108651017899 2.45411497747647e-18 8.18289495657782e-16 30.9651232753078
"ENSG00000137857.17" "HAVANA" "gene" NA NA "ENSG00000137857.17" "protein_coding" "DUOX1" "2" "HGNC:3062" "OTTHUMG00000171987.4" 1.78520962235711 4.471290591048 9.14925345572119 2.48909463608508e-18 8.18289495657782e-16 30.9327998643344
"ENSG00000225383.8" "HAVANA" "gene" NA NA "ENSG00000225383.8" "lncRNA" "SFTA1P" "2" "HGNC:18383" "OTTHUMG00000017660.16" 2.32281316799737 3.08700240625484 9.14768552482905 2.51940671375024e-18 8.18289495657782e-16 30.9415638529163
"ENSG00000100678.19" "HAVANA" "gene" NA NA "ENSG00000100678.19" "protein_coding" "SLC8A3" "1" "HGNC:11070" "OTTHUMG00000152342.3" 1.44641574452379 -1.66630226618298 9.11300756135219 3.29166556569618e-18 1.0546674400359e-15 30.447607932571
"ENSG00000137807.16" "HAVANA" "gene" NA NA "ENSG00000137807.16" "protein_coding" "KIF23" "1" "HGNC:6392" "OTTHUMG00000172062.8" -1.00980081737533 3.72420789425754 -9.09652355597488 3.7368993318891e-18 1.18135844212121e-15 30.487209498796
"ENSG00000168481.9" "HAVANA" "gene" NA NA "ENSG00000168481.9" "protein_coding" "LGI3" "2" "HGNC:18711" "OTTHUMG00000131599.5" 3.24102541619846 -0.423453339015686 9.03702369832423 5.89987281274207e-18 1.84060505776466e-15 29.8996996108526
"ENSG00000088926.14" "HAVANA" "gene" NA NA "ENSG00000088926.14" "protein_coding" "F11" "1" "HGNC:3529" "OTTHUMG00000150311.8" 2.83345580353249 -1.68728652779812 8.99789359961601 7.95815771848419e-18 2.45049246110727e-15 29.4655822770607
"ENSG00000277758.5" "HAVANA" "gene" NA NA "ENSG00000277758.5" "protein_coding" "FO681492.1" "2" NA "OTTHUMG00000189287.1" 1.70289658311269 -0.709903313048018 8.99517029768318 8.12539001656738e-18 2.46523428918127e-15 29.6683558914159
"ENSG00000024526.17" "HAVANA" "gene" NA NA "ENSG00000024526.17" "protein_coding" "DEPDC1" "2" "HGNC:22949" "OTTHUMG00000009212.5" -1.22860634373099 2.66285194618466 -8.99375003163732 8.21398181549221e-18 2.46523428918127e-15 29.7580815651228
"ENSG00000022267.19" "HAVANA" "gene" NA NA "ENSG00000022267.19" "protein_coding" "FHL1" "2" "HGNC:3702" "OTTHUMG00000022504.13" 1.08131469104302 4.51293674021189 8.97341919810381 9.59215590764058e-18 2.84287520712698e-15 29.6000811729379
"ENSG00000118193.12" "HAVANA" "gene" NA NA "ENSG00000118193.12" "protein_coding" "KIF14" "2" "HGNC:19181" "OTTHUMG00000035723.2" -1.15085867211238 2.79840011529833 -8.96485468668656 1.02391346533733e-17 2.99305480124448e-15 29.5376077189656
"ENSG00000146670.10" "HAVANA" "gene" NA NA "ENSG00000146670.10" "protein_coding" "CDCA5" "2" "HGNC:14626" "OTTHUMG00000150420.3" -1.07286265903413 4.00732447055219 -8.96342396306109 1.03513493758772e-17 2.99305480124448e-15 29.4705645883762
"ENSG00000141052.18" "HAVANA" "gene" NA NA "ENSG00000141052.18" "protein_coding" "MYOCD" "2" "HGNC:16067" "OTTHUMG00000058767.6" 1.77063378917469 0.0699599441381705 8.95600951864806 1.09526840781259e-17 3.12877276496824e-15 29.4200522151828
"ENSG00000134690.11" "HAVANA" "gene" NA NA "ENSG00000134690.11" "protein_coding" "CDCA8" "2" "HGNC:14629" "OTTHUMG00000004320.2" -0.999586873090451 3.8727861653964 -8.93693561288385 1.26633049249738e-17 3.53249988277275e-15 29.2817117776823
"ENSG00000108823.16" "HAVANA" "gene" NA NA "ENSG00000108823.16" "protein_coding" "SGCA" "1" "HGNC:10805" "OTTHUMG00000162024.3" 1.44212565970416 1.47791028782758 8.93692880998142 1.26639599340229e-17 3.53249988277275e-15 29.3491847149953
"ENSG00000117650.13" "HAVANA" "gene" NA NA "ENSG00000117650.13" "protein_coding" "NEK2" "2" "HGNC:7745" "OTTHUMG00000037121.3" -1.13690733624684 3.40771949084005 -8.91242755670491 1.52545718537948e-17 4.20022184878348e-15 29.1166083596665
"ENSG00000153446.16" "HAVANA" "gene" NA NA "ENSG00000153446.16" "protein_coding" "C16orf89" "1" "HGNC:28687" "OTTHUMG00000159314.4" 2.58101007088354 6.34484898618911 8.91107438406728 1.54120329331153e-17 4.20022184878348e-15 29.0872415681128
"ENSG00000011426.11" "HAVANA" "gene" NA NA "ENSG00000011426.11" "protein_coding" "ANLN" "1" "HGNC:14082" "OTTHUMG00000023143.8" -1.19523456605452 4.88979954528066 -8.90911680482927 1.5642677816156e-17 4.21463512523929e-15 29.0331868198702
"ENSG00000085840.13" "HAVANA" "gene" NA NA "ENSG00000085840.13" "protein_coding" "ORC1" "2" "HGNC:8487" "OTTHUMG00000008104.5" -1.00560038096734 2.43525668293732 -8.90647479933734 1.59593907252224e-17 4.25165341679802e-15 29.1210333612388
"ENSG00000156970.13" "HAVANA" "gene" NA NA "ENSG00000156970.13" "protein_coding" "BUB1B" "2" "HGNC:1149" "OTTHUMG00000129877.4" -1.0486662630407 3.09923480839963 -8.89212406713427 1.77938993864906e-17 4.68770393837437e-15 28.9842886624612
"ENSG00000157456.8" "HAVANA" "gene" NA NA "ENSG00000157456.8" "protein_coding" "CCNB2" "1" "HGNC:1580" "OTTHUMG00000132715.3" -0.971927293122974 3.8733838867225 -8.88367487546197 1.89700963351066e-17 4.94264817698216e-15 28.8838700117559
"ENSG00000161649.13" "HAVANA" "gene" NA NA "ENSG00000161649.13" "protein_coding" "CD300LG" "2" "HGNC:30455" "OTTHUMG00000181796.2" 2.16316207650732 -2.46984382041583 8.8774908143686 1.98794538065837e-17 5.12328097558805e-15 28.5292734222448
"ENSG00000116690.13" "HAVANA" "gene" NA NA "ENSG00000116690.13" "protein_coding" "PRG4" "1" "HGNC:9364" "OTTHUMG00000035574.5" 2.0862989589342 1.31375972368971 8.85552340678363 2.34727337913576e-17 5.98428514186117e-15 28.7293793022307
"ENSG00000076382.17" "HAVANA" "gene" NA NA "ENSG00000076382.17" "protein_coding" "SPAG5" "2" "HGNC:13452" "OTTHUMG00000166586.27" -0.970707290890521 4.30345097180412 -8.85374331471467 2.37906218191041e-17 6.00080471628679e-15 28.6419133365177
"ENSG00000091651.9" "HAVANA" "gene" NA NA "ENSG00000091651.9" "protein_coding" "ORC6" "2" "HGNC:17151" "OTTHUMG00000132539.5" -0.90721371810868 2.60468545745326 -8.85171509818799 2.4158017429563e-17 6.02069626142041e-15 28.7098641619542
"ENSG00000204305.14" "HAVANA" "gene" NA NA "ENSG00000204305.14" "protein_coding" "AGER" "2" "HGNC:320" "OTTHUMG00000031120.4" 2.25091887542008 4.54955252058495 8.85051880482418 2.43773446265862e-17 6.02069626142041e-15 28.7067005138885
"ENSG00000138160.7" "HAVANA" "gene" NA NA "ENSG00000138160.7" "protein_coding" "KIF11" "2" "HGNC:6388" "OTTHUMG00000018761.3" -0.91996883908409 4.36137917295321 -8.84665561262941 2.50991695018383e-17 6.13506504008852e-15 28.5899658221426
"ENSG00000144218.19" "HAVANA" "gene" NA NA "ENSG00000144218.19" "protein_coding" "AFF3" "2" "HGNC:6473" "OTTHUMG00000153011.13" 1.72463724519922 2.04337358202427 8.82100023812269 3.04598018398285e-17 7.36940715941157e-15 28.5051064085161
"ENSG00000182795.13" "HAVANA" "gene" NA NA "ENSG00000182795.13" "protein_coding" "C1orf116" "1" "HGNC:28667" "OTTHUMG00000036580.3" 1.60144391654231 7.2322617861699 8.78472723750433 4.00230203497306e-17 9.58531123729407e-15 28.0989550524562
"ENSG00000140254.12" "HAVANA" "gene" NA NA "ENSG00000140254.12" "protein_coding" "DUOXA1" "2" "HGNC:26507" "OTTHUMG00000131352.4" 1.90596358819106 2.6234275496279 8.78190107400134 4.08823101413363e-17 9.69319573451082e-15 28.2237889574919
"ENSG00000165810.17" "HAVANA" "gene" NA NA "ENSG00000165810.17" "protein_coding" "BTNL9" "1" "HGNC:24176" "OTTHUMG00000133152.5" 1.51623451564364 1.81790273050939 8.77450782345134 4.32175542222786e-17 1.0145427827824e-14 28.1624184835813
"ENSG00000166292.12" "HAVANA" "gene" NA NA "ENSG00000166292.12" "protein_coding" "TMEM100" "2" "HGNC:25607" "OTTHUMG00000177858.5" 1.9153922815534 1.86741129550734 8.76989543648414 4.47408166668136e-17 1.04000466977466e-14 28.1263176473673
